순위,제목,가수,앨범,좋아요
1,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life),"239,588"
2,LOVE DIVE,IVE (아이브),LOVE DIVE,"91,050"
3,TOMBOY,(여자)아이들,I NEVER DIE,"145,197"
4,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),"85,611"
5,Feel My Rhythm,Red Velvet (레드벨벳),‘The ReVe Festival 2022 - Feel My Rhythm’,"112,629"
6,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,"152,009"
7,GANADARA (Feat. 아이유),박재범,GANADARA,"103,524"
8,LOVE me,BE'O (비오),LOVE me,"40,252"
9,취중고백,김민석 (멜로망스),취중고백,"110,453"
10,우리들의 블루스,임영웅,IM HERO,"41,039"
11,INVU,태연 (TAEYEON),INVU - The 3rd Album,"104,892"
12,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,"151,245"
13,듣고 싶을까,MSG워너비(M.O.M),듣고 싶을까,"57,752"
14,다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56,"47,287"
15,ELEVEN,IVE (아이브),ELEVEN,"124,880"
16,그대라는 사치,임영웅,사랑의 콜센타 PART62,"41,851"
17,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호),"126,944"
18,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아,"73,152"
19,신호등,이무진,신호등,"269,633"
20,HERO,임영웅,HERO,"73,621"
21,끝사랑,임영웅,사랑의 콜센타 PART61,"37,526"
22,STAY,The Kid LAROI,Stay,"215,792"
23,SMILEY (Feat. BIBI),YENA (최예나),ˣ‿ˣ (SMiLEY),"102,850"
24,RUN2U,STAYC(스테이씨),YOUNG-LUV.COM,"66,479"
25,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자,"34,144"
26,언제나 사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2,"44,707"
27,MY BAG,(여자)아이들,I NEVER DIE,"39,352"
28,Bk Love,임영웅,뽕숭아학당 PART23,"36,903"
29,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,쇼미더머니 10 Episode 2,"200,714"
30,Seoul,볼빨간사춘기,Seoul,"17,443"
31,드라마,아이유,조각집,"124,810"
32,Next Level,aespa,Next Level,"241,964"
33,너를 생각해,주시크 (Joosiq),너를 생각해,"115,281"
34,ZOOM,제시 (Jessi),ZOOM,"13,756"
35,Dynamite,방탄소년단,Dynamite (DayTime Version),"431,694"
36,나의 X에게,경서,나의 X에게,"12,184"
37,strawberry moon,아이유,strawberry moon,"191,885"
38,Weekend,태연 (TAEYEON),Weekend,"170,873"
39,존재만으로,원슈타인,스물다섯 스물하나 OST Part 4,"52,945"
40,Butter,방탄소년단,Butter,"268,139"
41,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오),쇼미더머니 10 Episode 3,"173,390"
42,Step Back,GOT the beat,Step Back,"88,432"
43,Permission to Dance,방탄소년단,Butter / Permission to Dance,"201,243"
44,아무래도 난,주시크 (Joosiq),아무래도 난,"23,894"
45,Real Love,오마이걸 (OH MY GIRL),Real Love,"32,892"
46,라일락,아이유,IU 5th Album 'LILAC',"237,577"
47,Counting Stars (Feat. Beenzino),BE'O (비오),Counting Stars,"156,851"
48,호랑수월가,탑현,호랑수월가,"61,128"
49,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),"78,098"
50,걷고 싶다,임영웅,사랑의 콜센타 PART39,"34,014"
51,사랑인걸,한동근,사랑인걸,"21,563"
52,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집,"174,060"
53,내가 아니라도,주호,내가 아니라도,"17,856"
54,That's Hilarious,Charlie Puth,That's Hilarious,"29,329"
55,봄날,방탄소년단,YOU NEVER WALK ALONE,"558,339"
56,"스물다섯, 스물하나",자우림,"Goodbye, grief.","179,009"
57,Savage,aespa,Savage - The 1st Mini Album,"145,606"
58,어제처럼,폴킴,어제처럼,"33,457"
59,OHAYO MY NIGHT,디핵 (D-Hack),OHAYO MY NIGHT,"181,188"
60,"너, 너 (N번째 연애 X 휘인 (Whee In))",휘인 (Whee In),"너, 너 (N번째 연애 X 휘인 (Whee In))","34,807"
61,내 손을 잡아,아이유,최고의 사랑 OST Part.4,"186,953"
62,Celebrity,아이유,IU 5th Album 'LILAC',"317,204"
63,abcdefu,GAYLE,abcdefu,"89,458"
64,Dreams Come True,aespa,Dreams Come True - SM STATION,"89,120"
65,너의 번호를 누르고,김나영,너의 번호를 누르고,"11,219"
66,Blueming,아이유,Love poem,"334,634"
67,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,"202,279"
68,버퍼링 (Glitch Mode),NCT DREAM,Glitch Mode - The 2nd Album,"69,828"
69,My Universe,Coldplay,My Universe,"155,210"
70,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB),Red Moon : Beyond The Light,"57,607"
71,Bad Habits,Ed Sheeran,=,"108,998"
72,문득,BE'O (비오),Bipolar,"98,044"
73,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),"186,482"
74,With you,지민,우리들의 블루스 OST Part 4,"34,609"
75,Starlight,태일 (TAEIL),스물다섯 스물하나 OST Part 1,"59,678"
76,Off My Face,Justin Bieber,Justice (The Complete Edition),"116,450"
77,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,사이렌 Remix,"138,843"
78,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식 (Basick),쇼미더머니 10 Episode 3,"116,154"
79,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,"390,961"
80,LOVE,몬스타엑스,SHAPE of LOVE,"17,989"
81,고백,멜로망스,세 번째 '고백',"75,764"
82,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL,"156,355"
83,Darl+ing,세븐틴,Darl+ing,"39,458"
84,헤픈 우연,헤이즈 (Heize),HAPPEN,"173,839"
85,내 생에 아름다운,이예준,내 생에 아름다운,"23,705"
86,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,"379,223"
87,봄 사랑 벚꽃 말고,HIGH4 (하이포),봄 사랑 벚꽃 말고,"225,300"
88,서랍,10CM,그 해 우리는 OST Part.1,"54,993"
89,롤린 (Rollin'),브레이브걸스,Rollin',"292,940"
90,낙하 (with 아이유),AKMU (악뮤),NEXT EPISODE,"170,545"
91,Christmas Tree,V,그 해 우리는 OST Part.5,"89,726"
92,DAYDREAM,하이라이트 (Highlight),DAYDREAM,"30,792"
93,언덕나무,이승윤,그 해 우리는 OST Part.7,"51,575"
94,Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (What Doesn't Kill You) (Digital Audio Bundle),"83,170"
95,그대가 있기에,노을,그대가 있기에,"6,471"
96,겨울잠,아이유,조각집,"102,430"
97,나는 트로트가 싫어요,임창정,별거 없던 그 하루로,"21,000"
98,Can't Control Myself,태연 (TAEYEON),Can't Control Myself,"66,967"
99,벚꽃이 피면 우리 그만 헤어져,벤,벚꽃이 피면 우리 그만 헤어져,"13,735"
100,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,"379,879"
